Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0057730,0.0245690685,2022-01-17,2022-12-31,738.7230964032
ABBT0057730,0.0245690685,2022-01-17,2022-12-31,738.7230964032
ABBT0057730,0.041379484,2022-01-17,2022-12-31,1244.1652213248
ABBT0057730,0.041379484,2022-01-17,2022-12-31,1244.1652213248
ABBT0057730,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0057730,0.050431246,2022-01-17,2022-12-31,1516.3263597312
ABBT0057730,0.050431246,2022-01-17,2022-12-31,1516.3263597312
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.051724355,2022-01-17,2022-12-31,1555.2065266560003
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0057730,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.0038793265000000004,2022-01-17,2022-12-31,116.64048574080002
ABBT0092199,0.0038793265000000004,2022-01-17,2022-12-31,116.64048574080002
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0092199,0.095690057,2022-01-17,2022-12-31,2877.1320818304002
ABBT0092199,0.0362070485,2022-01-17,2022-12-31,1088.6445686592
