Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,1021.98222,818.04757,203.93465,400.00000,384,386,0,2,0.00000,0.00000,400.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,1030.24984,826.31519,203.93465,400.00000,385,1,0,0,0.00000,0.00000,0.00000,400.00000,0,,1,20,30,0.00000,,0,0,0,0
2022-01-03,1026.00430,822.06966,203.93465,1000.00000,383,0,0,2,18.00000,0.00000,400.00000,0.00000,9,,0,0,0,1000.00000,,18,3,120,360
2022-01-04,1012.37390,808.43925,203.93465,1000.00000,380,0,0,3,23.00000,0.00000,600.00000,0.00000,1,,0,0,0,1000.00000,,23,3,120,360
2022-01-05,1012.59735,808.66270,203.93465,1000.00000,381,1,0,0,29.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,29,3,120,360
2022-01-06,998.29660,803.29992,194.99668,500.00000,378,0,0,2,11.00000,0.00000,400.00000,0.00000,0,,0,0,0,500.00000,,11,1,30,120
2022-01-07,998.29660,803.29992,194.99668,0.00000,378,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,998.29660,803.29992,194.99668,0.00000,378,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,998.07315,803.07647,194.99668,0.00000,377,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,995.39176,800.39508,194.99668,0.00000,376,1,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
