Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.095690057,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0100422,0.051724355,2022-05-18,2022-05-18,0.0
ABBT0100422,0.069827879,2022-01-17,2022-01-17,0.0
ABBT0100422,0.018103524,2022-01-17,2022-01-17,0.0
ABBT0100422,0.069827879,2022-01-17,2022-01-17,0.0
ABBT0100422,0.069827879,2022-09-16,2022-12-31,639.5116470336001
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.069827879,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0100422,0.095690057,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-05-18,2022-05-18,0.0
ABBT0100422,0.069827879,2022-09-16,2022-12-31,639.5116470336001
ABBT0100422,0.018103524,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0100422,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0100422,0.051724355,2022-05-18,2022-05-18,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-05-18,2022-05-18,0.0
ABBT0100422,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0100422,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.095690057,2022-05-18,2022-08-31,868.100197104
ABBT0129263,0.051724355,2022-09-16,2022-12-31,473.712332832
ABBT0129263,0.095690057,2022-05-18,2022-08-31,868.100197104
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0129263,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0129263,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0129263,0.031034613,2022-01-17,2022-01-17,0.0
