Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,1147.48619,766.87770,380.60849,400.00000,380,380,0,0,0.00000,0.00000,0.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,1138.54822,757.93973,380.60849,400.00000,377,0,0,3,0.00000,0.00000,600.00000,400.00000,0,,1,20,30,0.00000,,0,0,0,0
2022-01-03,1117.54400,755.03489,362.50911,1000.00000,372,0,0,2,59.00000,0.00000,400.00000,0.00000,9,,0,0,0,1000.00000,,59,3,120,360
2022-01-04,1120.22539,757.71628,362.50911,1000.00000,373,1,0,0,65.00000,0.00000,0.00000,0.00000,1,,0,0,0,1000.00000,,65,3,120,360
2022-01-05,1114.41571,760.17422,354.24148,1000.00000,372,1,0,1,75.00000,0.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,75,3,120,360
2022-01-06,1114.41571,760.17422,354.24148,500.00000,372,0,0,0,38.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,38,1,30,120
2022-01-07,1114.41571,760.17422,354.24148,0.00000,372,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,1117.76745,762.85562,354.91183,0.00000,374,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,1120.00194,765.09011,354.91183,0.00000,374,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,1119.77849,765.09011,354.68838,0.00000,374,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,1120.00194,765.09011,354.91183,0.00000,375,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
