Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,853.16634,528.23394,324.93240,0.00000,335,337,0,1,0,0,200.00000
2022-01-02,852.45875,525.55255,326.90620,0.00000,335,1,0,1,0,0,200.00000
2022-01-03,852.45875,525.55255,326.90620,0.00000,335,0,0,0,0,0,0.00000
2022-01-04,854.24634,527.34014,326.90620,0.00000,337,2,0,0,0,0,0.00000
2022-01-05,854.91669,528.01049,326.90620,0.00000,336,1,0,2,0,0,400.00000
2022-01-06,854.91669,528.01049,326.90620,0.00000,336,0,0,0,0,0,0.00000
2022-01-07,854.91669,528.01049,326.90620,0.00000,336,0,0,0,0,0,0.00000
2022-01-08,860.27947,524.65875,335.62072,0.00000,336,3,0,2,0,0,400.00000
2022-01-09,860.05602,524.65875,335.39727,0.00000,335,0,0,0,0,0,0.00000
2022-01-10,873.23953,538.28916,334.95037,0.00000,337,3,0,0,0,0,0.00000
2022-01-11,873.68642,538.73605,334.95037,0.00000,338,2,0,1,0,0,200.00000
2022-01-12,870.78158,544.76918,326.01240,0.00000,338,1,0,0,0,0,0.00000
2022-01-13,873.05332,549.23817,323.81515,0.00000,337,2,0,1,0,0,200.00000
2022-01-14,874.80367,549.01472,325.78895,0.00000,337,1,0,1,0,0,200.00000
2022-01-15,872.82987,549.01472,323.81515,0.00000,336,0,0,0,0,0,0.00000
2022-01-16,872.15952,548.79127,323.36825,0.00000,335,1,0,1,0,0,200.00000
2022-01-17,876.62850,553.26025,323.36825,0.00000,336,1,0,0,0,0,0.00000
2022-01-18,870.81883,547.45057,323.36825,0.00000,336,1,0,1,0,0,200.00000
2022-01-19,870.81883,547.45057,323.36825,0.00000,336,1,0,1,0,0,200.00000
2022-01-20,870.81883,547.45057,323.36825,0.00000,336,0,0,0,0,0,0.00000
2022-01-21,876.36781,550.35541,326.01240,0.00000,337,3,0,2,0,0,400.00000
2022-01-22,876.14436,550.35541,325.78895,0.00000,336,0,0,0,0,0,0.00000
