Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,49879.79267,6748.91267,43130.88000,6030.00000,356,358,0,1,0.00000,0.00000,200.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,49490.97116,6740.25116,42750.72000,30.00000,355,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,49475.61334,6724.89334,42750.72000,30.00000,355,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,49172.22036,6715.26036,42456.96000,30.00000,353,2,0,3,0.00000,0.00000,600.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,48222.61489,6716.05489,41506.56000,30.00000,353,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,48518.77614,6718.45614,41800.32000,30.00000,355,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,48640.08682,6839.76682,41800.32000,30.00000,356,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,48741.64586,6837.64586,41904.00000,30.00000,357,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,48846.67825,6838.99825,42007.68000,30.00000,359,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,48846.67825,6838.99825,42007.68000,3030.00000,359,0,0,0,204.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,204,9,360,1080
2022-01-11,49140.43825,6838.99825,42301.44000,530.00000,360,1,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,26,1,30,120
2022-01-12,49140.43825,6838.99825,42301.44000,30.00000,360,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-13,49141.68535,6840.24535,42301.44000,30.00000,361,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-14,50078.98605,7483.78605,42595.20000,30.00000,363,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,50078.98605,7483.78605,42595.20000,30.00000,363,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,49278.22140,7547.02140,41731.20000,30.00000,364,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,49485.58140,7547.02140,41938.56000,30.00000,364,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,49779.34140,7547.02140,42232.32000,30.00000,365,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,48935.95514,7567.63514,41368.32000,3030.00000,364,1,0,1,207.00000,0.00000,200.00000,30,10,,10,0,0,3000.00000,,207,9,360,1080
2022-01-20,49031.18987,7576.46987,41454.72000,530.00000,367,3,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,26,1,30,120
2022-01-21,48927.50987,7576.46987,41351.04000,30.00000,366,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-22,48841.10987,7576.46987,41264.64000,30.00000,365,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-23,48932.99535,7668.35535,41264.64000,30.00000,366,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,49056.41237,7791.77237,41264.64000,30.00000,369,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,42889.33232,1330.93232,41558.40000,35030.00000,195,1,175,0,0.00000,35000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,42521.27163,962.87163,41558.40000,4030.00000,175,0,20,0,0.00000,4000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,41657.27163,962.87163,40694.40000,30.00000,174,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,41662.28989,967.88989,40694.40000,3030.00000,175,1,0,0,47.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,47,9,360,1080
2022-01-29,41672.22308,977.82308,40694.40000,530.00000,176,1,0,0,7.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,7,1,30,120
2022-01-30,41672.22308,977.82308,40694.40000,30.00000,176,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-31,41672.22308,977.82308,40694.40000,30.00000,176,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-01,41751.74541,1057.34541,40694.40000,30.00000,178,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-02,41862.82232,1168.42232,40694.40000,30.00000,181,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-03,41043.91869,453.19869,40590.72000,1030.00000,176,1,5,0,0.00000,1000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-04,41953.49847,1362.77847,40590.72000,30.00000,177,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-05,41987.70220,1396.98220,40590.72000,30.00000,179,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-06,41987.30712,1396.58712,40590.72000,3030.00000,178,0,0,1,51.00000,0.00000,200.00000,30,10,,10,0,0,3000.00000,,51,9,360,1080
2022-02-07,41129.54485,1402.82485,39726.72000,530.00000,178,1,0,0,8.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,8,1,30,120
2022-02-08,41820.74485,1402.82485,40417.92000,30.00000,177,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-09,41820.74485,1402.82485,40417.92000,30.00000,177,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-10,41603.64411,1479.48411,40124.16000,30.00000,177,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-11,40923.55525,1663.39525,39260.16000,30.00000,177,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-12,40699.46257,1439.30257,39260.16000,1030.00000,172,0,5,0,0.00000,1000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-13,40780.50423,1433.94423,39346.56000,230.00000,171,1,1,1,0.00000,200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-14,41646.82142,1436.26142,40210.56000,30.00000,173,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-15,41556.39154,1449.51154,40106.88000,3030.00000,174,2,0,0,52.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,52,9,360,1080
2022-02-16,43285.31606,1450.43606,41834.88000,530.00000,177,3,0,0,7.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,7,1,30,120
2022-02-17,43285.31606,1450.43606,41834.88000,30.00000,177,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-18,43287.92964,1453.04964,41834.88000,30.00000,180,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-19,43287.92964,1453.04964,41834.88000,30.00000,180,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-20,43289.33938,1454.45938,41834.88000,30.00000,181,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-21,42244.31326,409.43326,41834.88000,1630.00000,174,1,8,0,0.00000,1600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-22,42226.23073,391.35073,41834.88000,430.00000,172,0,2,0,0.00000,400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-23,42226.56942,391.68942,41834.88000,30.00000,173,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-24,42226.56942,391.68942,41834.88000,3030.00000,173,0,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-02-25,42191.52191,443.04191,41748.48000,530.00000,174,2,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-02-26,42206.87064,458.39064,41748.48000,30.00000,175,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-27,42206.87064,458.39064,41748.48000,30.00000,175,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-02-28,42221.66101,559.58101,41662.08000,30.00000,175,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-01,42221.66101,559.58101,41662.08000,30.00000,175,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-02,41939.65467,277.57467,41662.08000,1230.00000,170,1,6,0,0.00000,1200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-03,41939.66929,277.58929,41662.08000,30.00000,171,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-04,42046.76444,281.00444,41765.76000,30.00000,173,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-05,41943.08444,281.00444,41662.08000,3030.00000,172,0,0,0,48.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,48,9,360,1080
2022-03-06,42341.78226,282.26226,42059.52000,530.00000,175,3,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-03-07,42402.32337,446.48337,41955.84000,30.00000,175,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-08,42432.28146,476.44146,41955.84000,30.00000,177,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-09,42139.63151,477.55151,41662.08000,30.00000,176,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-10,42147.55114,485.47114,41662.08000,30.00000,177,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-11,42047.66251,385.58251,41662.08000,1030.00000,171,0,5,1,0.00000,1000.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-12,42047.56036,385.48036,41662.08000,30.00000,170,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-13,42047.25881,385.17881,41662.08000,30.00000,169,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-14,41771.07021,402.75021,41368.32000,3030.00000,169,1,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-03-15,41684.67021,402.75021,41281.92000,530.00000,168,0,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-03-16,41692.44652,410.52652,41281.92000,30.00000,168,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-17,41787.98994,419.66994,41368.32000,30.00000,171,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-18,41701.58994,419.66994,41281.92000,30.00000,170,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-19,41718.86994,419.66994,41299.20000,30.00000,170,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-20,41530.24749,248.32749,41281.92000,1230.00000,164,1,6,0,0.00000,1200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-21,41534.34017,252.42017,41281.92000,30.00000,165,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-22,42295.49883,253.25883,42042.24000,30.00000,168,4,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-23,42381.89883,253.25883,42128.64000,3030.00000,169,1,0,0,50.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,50,9,360,1080
2022-03-24,42477.77336,349.13336,42128.64000,530.00000,170,2,0,1,5.00000,0.00000,200.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-03-25,42091.36386,360.16386,41731.20000,30.00000,169,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-26,42091.53811,360.33811,41731.20000,30.00000,170,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-27,42195.86740,464.66740,41731.20000,30.00000,171,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-28,42203.11865,471.91865,41731.20000,30.00000,173,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-29,43715.42283,256.22283,43459.20000,1630.00000,168,3,8,0,0.00000,1600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-30,43715.42283,256.22283,43459.20000,30.00000,168,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-03-31,43819.10283,256.22283,43562.88000,30.00000,169,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-01,43819.10283,256.22283,43562.88000,3030.00000,169,0,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-04-02,43819.10283,256.22283,43562.88000,530.00000,169,0,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-04-03,43819.10283,256.22283,43562.88000,30.00000,169,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-04,43823.34560,260.46560,43562.88000,30.00000,170,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-05,43937.16953,374.28953,43562.88000,30.00000,172,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-06,43938.17106,375.29106,43562.88000,30.00000,173,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-07,43916.29922,353.41922,43562.88000,1030.00000,168,0,5,0,0.00000,1000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-08,43931.43042,368.55042,43562.88000,30.00000,169,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-09,43830.66597,371.46597,43459.20000,30.00000,169,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-10,42966.66597,371.46597,42595.20000,3030.00000,168,0,0,0,49.00000,0.00000,0.00000,30,10,,10,0,0,3000.00000,,49,9,360,1080
2022-04-11,43178.20350,583.00350,42595.20000,530.00000,168,1,0,1,5.00000,0.00000,200.00000,30,0,,10,0,0,500.00000,,5,1,30,120
2022-04-12,43471.96350,583.00350,42888.96000,30.00000,169,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-13,43471.96350,583.00350,42888.96000,30.00000,169,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-14,43471.96350,583.00350,42888.96000,30.00000,169,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-15,44335.96350,583.00350,43752.96000,30.00000,170,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-04-16,44318.56856,358.24856,43960.32000,1430.00000,166,3,7,0,0.00000,1400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
