Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9843.34749,6922.45664,2920.89086,500.00000,3695,3706,0,8,0.00000,0.00000,1600.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,9831.76538,6921.33939,2910.42598,500.00000,3696,10,0,6,0.00000,0.00000,1200.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-03,9852.84409,6936.75739,2916.08670,1000.00000,3700,13,0,5,21.00000,0.00000,1000.00000,500.00000,1,,9,300,180,500.00000,,21,1,30,120
2022-01-04,9854.40823,6930.50081,2923.90742,1000.00000,3696,7,0,10,17.00000,0.00000,2000.00000,500.00000,1,,9,300,180,500.00000,,17,1,30,120
2022-01-05,9839.73506,6928.26632,2911.46875,1000.00000,3693,8,0,6,23.00000,0.00000,1200.00000,500.00000,1,,9,300,180,500.00000,,23,1,30,120
2022-01-06,9868.33656,6948.15330,2920.18327,1000.00000,3702,13,0,2,24.00000,0.00000,400.00000,500.00000,1,,9,300,180,500.00000,,24,1,30,120
2022-01-07,9890.45804,6944.13121,2946.32683,1000.00000,3709,15,0,6,27.00000,0.00000,1200.00000,500.00000,1,,9,300,180,500.00000,,27,1,30,120
2022-01-08,9897.23600,6955.08022,2942.15577,1500.00000,3710,9,0,5,49.00000,0.00000,1000.00000,500.00000,2,,9,300,180,1000.00000,,49,2,60,240
2022-01-09,9882.26490,6949.71744,2932.54746,1500.00000,3709,7,0,5,51.00000,0.00000,1000.00000,500.00000,2,,9,300,180,1000.00000,,51,2,60,240
2022-01-10,9897.57117,6950.61124,2946.95993,500.00000,3707,11,0,11,0.00000,0.00000,2200.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-11,9887.96285,6932.28840,2955.67445,1000.00000,3704,8,0,7,21.00000,0.00000,1400.00000,500.00000,1,,9,300,180,500.00000,,21,1,30,120
2022-01-12,9894.21943,6938.09808,2956.12135,500.00000,3703,5,0,6,0.00000,0.00000,1200.00000,500.00000,0,,1,30,20,0.00000,,0,0,0,0
2022-01-13,9892.02218,6938.09808,2953.92410,500.00000,3699,5,0,5,17.00000,0.00000,1000.00000,0.00000,1,,0,0,0,500.00000,,17,1,30,120
2022-01-14,9876.60419,6939.21533,2937.38886,500.00000,3700,13,0,8,26.00000,0.00000,1600.00000,0.00000,1,,0,0,0,500.00000,,26,1,30,120
2022-01-15,9916.82504,6961.33680,2955.48824,0.00000,3711,19,0,5,0.00000,0.00000,1000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-16,9905.65258,6950.61124,2955.04134,0.00000,3709,12,0,10,0.00000,0.00000,2000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-17,9921.77817,6960.21955,2961.55861,0.00000,3707,10,0,9,0.00000,0.00000,1800.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-18,9824.57776,6870.16952,2954.40824,4200.00000,3688,13,21,7,0.00000,4200.00000,1400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-19,9760.00094,6814.30722,2945.69372,2800.00000,3670,9,14,10,0.00000,2800.00000,2000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-20,9718.92352,6774.53326,2944.39027,4000.00000,3660,15,20,4,0.00000,4000.00000,800.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-21,9641.64734,6682.47218,2959.17516,4400.00000,3637,11,22,10,0.00000,4400.00000,2000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-22,9538.86070,6588.84696,2950.01374,5200.00000,3613,11,26,6,0.00000,5200.00000,1200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-23,9395.89044,6430.42147,2965.46897,8800.00000,3569,11,44,7,0.00000,8800.00000,1400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-24,9236.98081,6260.15317,2976.82764,9200.00000,3529,9,46,3,0.00000,9200.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-25,9245.65809,6267.08009,2978.57800,0.00000,3531,13,0,10,0.00000,0.00000,2000.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-26,9190.46613,6221.27301,2969.19313,3400.00000,3519,14,17,4,0.00000,3400.00000,800.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-27,9180.41092,6211.66469,2968.74623,0.00000,3514,5,0,8,0.00000,0.00000,1600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-28,9137.09901,6153.79134,2983.30767,3000.00000,3501,9,15,4,0.00000,3000.00000,800.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
