Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,1040.00712,733.58377,306.42335,2876.00000,392,393,0,1,42,0.00000,200.00000,2876.00000,,42,3,180,300
2022-01-02,1033.75054,727.32719,306.42335,2876.00000,390,0,0,2,73,0.00000,400.00000,2876.00000,,73,3,180,360
2022-01-03,1034.45813,730.00858,304.44955,2876.00000,390,1,0,0,43,0.00000,0.00000,2876.00000,,43,3,180,300
2022-01-04,1043.17265,738.72310,304.44955,2876.00000,392,2,0,0,59,0.00000,0.00000,2876.00000,,59,3,180,360
2022-01-05,1043.17265,738.72310,304.44955,0.00000,392,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,1051.44027,738.72310,312.71717,0.00000,393,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-07,1056.09546,741.40449,314.69097,0.00000,395,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,1056.54236,741.85139,314.69097,0.00000,396,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,1057.47340,744.53278,312.94062,0.00000,397,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,1061.71894,748.77831,312.94062,0.00000,399,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,1059.52168,748.55487,310.96682,0.00000,397,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-12,1062.64997,751.23626,311.41372,0.00000,399,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,1054.15890,751.01281,303.14610,0.00000,397,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-14,1054.15890,751.01281,303.14610,0.00000,397,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,1054.15890,751.01281,303.14610,0.00000,397,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-16,916.73764,613.59154,303.14610,7000.00000,363,2,35,1,0,7000.00000,200.00000,0.00000,,0,0,0,0
2022-01-17,694.62912,391.48302,303.14610,13000.00000,297,0,65,1,0,13000.00000,200.00000,0.00000,,0,0,0,0
2022-01-18,572.21619,271.04390,301.17230,7400.00000,261,2,37,0,0,7400.00000,0.00000,0.00000,,0,0,0,0
2022-01-19,419.82383,119.32188,300.50195,10600.00000,210,3,53,0,0,10600.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,420.04728,119.54533,300.50195,0.00000,211,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-21,422.28177,122.22672,300.05505,0.00000,211,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-22,420.30797,122.22672,298.08125,0.00000,210,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-23,420.30797,122.22672,298.08125,0.00000,210,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-24,420.30797,122.22672,298.08125,0.00000,210,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-25,422.98936,124.90811,298.08125,0.00000,211,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-26,422.31901,124.90811,297.41090,0.00000,210,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-27,425.22385,127.58950,297.63435,0.00000,212,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-28,427.90524,130.27089,297.63435,0.00000,213,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-29,428.35214,130.27089,298.08125,0.00000,214,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-30,430.77284,130.71779,300.05505,0.00000,216,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-31,422.50522,130.71779,291.78743,0.00000,215,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-01,436.80597,145.01854,291.78743,0.00000,217,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-02,439.48736,147.69993,291.78743,0.00000,218,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-03,434.79493,151.94547,282.84946,0.00000,217,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-02-04,443.06255,160.21309,282.84946,0.00000,218,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-05,445.03635,160.21309,284.82326,0.00000,219,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-06,445.03635,160.21309,284.82326,0.00000,219,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-07,463.13573,178.31247,284.82326,0.00000,222,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
