Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,42379.23527,12070.11527,30309.12000,6030.00000,381,383,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,42285.07371,12079.63371,30205.44000,30.00000,380,2,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,42293.83634,12088.39634,30205.44000,30.00000,381,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,42294.41494,12088.97494,30205.44000,30.00000,381,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,41914.25494,12088.97494,29825.28000,30.00000,379,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,41834.36398,12095.48398,29738.88000,30.00000,379,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,42236.30655,11633.42655,30602.88000,30.00000,380,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,42252.96707,11632.80707,30620.16000,30.00000,379,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,42252.96707,11632.80707,30620.16000,30.00000,379,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,42245.05044,11624.89044,30620.16000,1030.00000,378,0,0,1,95.00000,0.00000,200.00000,30,10,,10,0,0,1000.00000,,95,3,120,360
2022-01-11,42250.72376,11630.56376,30620.16000,1030.00000,380,2,0,0,74.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,74,3,120,360
2022-01-12,42257.24377,11637.08377,30620.16000,1030.00000,381,1,0,0,86.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,86,3,120,360
2022-01-13,42290.74926,11670.58926,30620.16000,530.00000,384,3,0,0,29.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,29,1,30,120
2022-01-14,42316.66885,11696.50885,30620.16000,30.00000,387,3,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,43180.66885,11696.50885,31484.16000,30.00000,388,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,43481.20919,11703.28919,31777.92000,30.00000,390,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,43481.20919,11703.28919,31777.92000,30.00000,390,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,43481.20919,11703.28919,31777.92000,30.00000,390,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,43481.20919,11703.28919,31777.92000,1030.00000,390,0,0,0,80.00000,0.00000,0.00000,30,10,,10,0,0,1000.00000,,80,3,120,360
2022-01-20,43487.32202,11709.40202,31777.92000,1030.00000,392,2,0,0,97.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,97,3,120,360
2022-01-21,43487.32202,11709.40202,31777.92000,1030.00000,392,0,0,0,80.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,80,3,120,360
2022-01-22,43487.32202,11709.40202,31777.92000,530.00000,392,0,0,0,37.00000,0.00000,0.00000,30,0,,10,0,0,500.00000,,37,1,30,120
2022-01-23,43507.19308,11729.27308,31777.92000,30.00000,393,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,43507.19308,11729.27308,31777.92000,30.00000,393,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,41258.25312,9480.33312,31777.92000,17430.00000,307,1,87,0,0.00000,17400.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,37506.78165,5728.86165,31777.92000,12830.00000,243,0,64,0,0.00000,12800.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,33711.27310,2227.11310,31484.16000,15030.00000,169,2,75,0,0.00000,15000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,31598.25240,114.09240,31484.16000,5630.00000,146,0,23,0,18.00000,4600.00000,0.00000,30,10,,10,0,0,1000.00000,,18,3,120,360
2022-01-29,31597.89646,113.73646,31484.16000,1030.00000,145,0,0,1,17.00000,0.00000,200.00000,30,0,,10,0,0,1000.00000,,17,3,120,360
2022-01-30,30645.43205,128.95205,30516.48000,1030.00000,145,2,0,0,18.00000,0.00000,0.00000,30,0,,10,0,0,1000.00000,,18,3,120,360
